Author,Exposure,Outcome,Direction,Strength,ID,Status
,Diabetes mellitus,Ischemic stroke,Increase,6.0,1,Final
,Age factor,Ischemic stroke,Increase,6.0,1,Final
,Age factor,Diabetes mellitus,Increase,5.0,1,Final
,Male,Ischemic stroke,Increase,6.0,1,Final
,Hypertensive disorder,Ischemic stroke,Increase,6.0,1,Final
,Age factor,Hypertensive disorder,Increase,6.0,1,Final
,Body mass index,Hypertensive disorder,Increase,4.0,1,Final
,Body mass index,Diabetes mellitus,Increase,4.0,1,Final
,Body mass index,Ischemic stroke,Increase,6.0,1,Final
Carrero et al (2018),Atrial fibrillation,Ischemic stroke,Increase,6.0,1,Final
de Leeuw et al. (2000),Male,Atrial fibrillation,Increase,4.0,1,Final
Kalantarian et al. (2014),Age factor,Atrial fibrillation,Increase,5.0,1,Final
,Body mass index,Atrial fibrillation,Increase,6.0,1,Final
Diez-Villanueva P & Alfonso F. (2019),Hypertensive disorder,Atrial fibrillation,Increase,6.0,1,Final
,Tobacco smoke,Ischemic stroke,Increase,5.0,1,Final
,Age factor,Tobacco smoke,Increase,5.0,1,Final
Pan et al. (2019),Male,Tobacco smoke,Increase,6.0,1,Final
Shah & Cole (2010),Tobacco smoke,Diabetes mellitus,Increase,4.0,1,Final
,Tobacco smoke,Body mass index,Decrease,2.0,1,Final
,Tobacco smoke,Hypertensive disorder,Increase,3.0,1,Final
Campagna et al. (2019),Tobacco smoke,Atrial fibrillation,Increase,6.0,1,Final
Maddatu et al. (2017),Hyperlipidemia,Atrial fibrillation,Increase,6.0,1,Final
Patel et al. (2011),Hyperlipidemia,Body mass index,Increase,6.0,1,Final
Watanabe et al. (2016),Hyperlipidemia,Hypertensive disorder,Increase,6.0,1,Final
Halperin et al. (2008),Hyperlipidemia,Diabetes mellitus,Increase,6.0,1,Final
,Hyperlipidemia,Ischemic stroke,Increase,6.0,1,Final
,Diabetes mellitus,Atrial fibrillation,Increase,5.0,1,Final
,Tobacco smoke,Hyperlipidemia,Increase,3.0,1,Final
,Male,Diabetes mellitus,Increase,3.0,1,Final
